Course #,Course Title,Course Path,Direct Link
2002450,Integrated Science 3 Honors,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Integrated Sciences >,Click Here
2000300,Intensive Science,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Remedial >,Click Here
2000390,Limnology,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Biological Sciences >,Click Here
2002500,Marine Science 1,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Marine Sciences >,Click Here
2002510,Marine Science 1 Honors,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Marine Sciences >,Click Here
2002520,Marine Science 2,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Marine Sciences >,Click Here
2002530,Marine Science 2 Honors,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Marine Sciences >,Click Here
2003400,Nuclear Radiation,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Physical Sciences >,Click Here
2020710,Nuclear Radiation Honors,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Physical Sciences >,Click Here
2003310,Physical Science,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Physical Sciences >,Click Here
2003320,Physical Science Honors,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Physical Sciences >,Click Here
2003380,Physics 1,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Physical Sciences >,Click Here
2003390,Physics 1 Honors,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Physical Sciences >,Click Here
2003410,Physics 2 Honors,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Physical Sciences >,Click Here
2003600,Principles of Technology 1,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Physical Sciences >,Click Here
2003610,Principles of Technology 2,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Physical Sciences >,Click Here
2002540,Solar Energy Honors,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Integrated Sciences >,Click Here
2002550,Solar Energy 2 Honors,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Integrated Sciences >,Click Here
2002330,Space Technology and Engineering,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: General Sciences >,Click Here
2000410,Zoology,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Science > SubSubject: Biological Sciences >,Click Here
2100990,Social Studies Transfer,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 9 to 12 and Adult Education Courses > Subject: Social Studies > SubSubject: World and Eastern Hemispheric Histories >,Click Here
200220,M/J Computer Education Transfer,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: Computer Education > SubSubject: General >,Click Here
5002000,Introduction to Computers,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: Computer Education > SubSubject: General >,Click Here
5007000,French-Elementary,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: World Languages > SubSubject: General >,Click Here
5007010,German-Elementary,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: World Languages > SubSubject: General >,Click Here
5007020,Spanish-Elementary,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: World Languages > SubSubject: General >,Click Here
5007040,Italian-Elementary,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: World Languages > SubSubject: General >,Click Here
5007050,Chinese-Elementary,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: World Languages > SubSubject: General >,Click Here
5007060,Greek-Elementary,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: World Languages > SubSubject: General >,Click Here
5007070,Haitian Creole-Elementary,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: World Languages > SubSubject: General >,Click Here
5007080,Portuguese-Elementary,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: World Languages > SubSubject: General >,Click Here
5010010,English for Speakers of Other Languages-Elementary,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: English/Language Arts > SubSubject: General >,Click Here
5010020,Functional Basic Skills in Reading-Elementary,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: English/Language Arts > SubSubject: General >,Click Here
5010030,Functional Basic Skills in Communications-Elementary,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: English/Language Arts > SubSubject: General >,Click Here
5013010,Elementary Chorus,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: Music Education > SubSubject: General >,Click Here
5013020,Elementary Band,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: Music Education > SubSubject: General >,Click Here
5013030,Elementary Orchestra,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: Music Education > SubSubject: General >,Click Here
5022000,Study Hall-Elementary,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: Study Hall > SubSubject: General >,Click Here
5100520,District Head Start,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: Prekindergarten > SubSubject: General >,Click Here
5100530,District Title 1 Prekindergarten,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: Prekindergarten > SubSubject: General >,Click Here
5100560,Prekindergarten Other,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: Prekindergarten > SubSubject: General >,Click Here
5100570,School Readiness,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: Prekindergarten > SubSubject: General >,Click Here
5100580,Voluntary Prekindergarten Education- school year program,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: Prekindergarten > SubSubject: General >,Click Here
5100590,Voluntary Prekindergarten Education- summer program,Section: Grades PreK to 12 Education Courses > Grade Group: Grades PreK to 5 Education Courses > Subject: Prekindergarten > SubSubject: General >,Click Here
300000,M/J Dance 1,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: Dance > SubSubject: General >,Click Here
300010,M/J Dance 2,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: Dance > SubSubject: General >,Click Here
300020,M/J Dance 3,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: Dance > SubSubject: General >,Click Here
300030,M/J Dance 4,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: Dance > SubSubject: General >,Click Here
300220,M/J Dance Transfer,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: Dance > SubSubject: General >,Click Here
400000,M/J Theatre 1,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: Drama - Theatre Arts > SubSubject: General >,Click Here
400010,M/J Theatre 2,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: Drama - Theatre Arts > SubSubject: General >,Click Here
400020,M/J Theatre 3,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: Drama - Theatre Arts > SubSubject: General >,Click Here
400030,M/J Theatre 4,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: Drama - Theatre Arts > SubSubject: General >,Click Here
400110,M/J Technical Theatre: Design and Production,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: Drama - Theatre Arts > SubSubject: General >,Click Here
400220,M/J Drama Transfer,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: Drama - Theatre Arts > SubSubject: General >,Click Here
500000,M/J Personal; Career; and School Development Skills 1,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: Experiential Education > SubSubject: Experiential >,Click Here
500002,M/J Personal; Career; School Development Skills 1 & Career Planning,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: Experiential Education > SubSubject: Experiential >,Click Here
500010,M/J Personal; Career; and School Development Skills 2,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: Experiential Education > SubSubject: Experiential >,Click Here
500012,M/J Personal; Career; School Development Skills 2 & Career Planning,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: Experiential Education > SubSubject: Experiential >,Click Here
500020,M/J Personal; Career; and School Development Skills 3,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: Experiential Education > SubSubject: Experiential >,Click Here
500022,M/J Personal; Career; School Development Skills 3 & Career Planning,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: Experiential Education > SubSubject: Experiential >,Click Here
701000,M/J French; Beginning,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: French >,Click Here
701010,M/J French; Intermediate,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: French >,Click Here
701020,M/J French; Advanced,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: French >,Click Here
702000,M/J German; Beginning,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: German >,Click Here
702010,M/J German; Intermediate,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: German >,Click Here
702020,M/J German; Advanced,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: German >,Click Here
703000,M/J Haitian Creole for Haitian Creole Speakers; Beginning,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: Haitian Creole >,Click Here
703010,M/J Haitian Creole for Haitian Creole Speakers; Intermediate,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: Haitian Creole >,Click Here
703020,M/J Haitian Creole for Haitian Creole Speakers; Advanced,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: Haitian Creole >,Click Here
705000,M/J Italian; Beginning,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: Italian >,Click Here
705010,M/J Italian; Intermediate,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: Italian >,Click Here
705020,M/J Italian; Advanced,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: Italian >,Click Here
706000,M/J Latin; Beginning,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: Latin >,Click Here
706010,M/J Latin; Intermediate,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: Latin >,Click Here
706020,M/J Latin; Advanced,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: Latin >,Click Here
708000,M/J Spanish; Beginning,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: Spanish >,Click Here
708010,M/J Spanish; Intermediate,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: Spanish >,Click Here
708020,M/J Spanish; Advanced,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: Spanish >,Click Here
709000,M/J Spanish for Spanish Speakers; Beginning,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: Spanish >,Click Here
709010,M/J Spanish for Spanish Speakers;Intermediate,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: Spanish >,Click Here
709020,M/J Spanish for Spanish Speakers; Advanced,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: Spanish >,Click Here
711000,M/J Japanese; Beginning,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: Japanese >,Click Here
711010,M/J Japanese; Intermediate,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: Japanese >,Click Here
711020,M/J Japanese; Advanced,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: Japanese >,Click Here
710000,M/J World Language Humanities for International Studies 1,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: World Language for International Studies >,Click Here
710010,M/J World Language Humanities for International Studies 2,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: World Language for International Studies >,Click Here
710020,M/J World Language Humanities for International Studies 3,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: World Languages > SubSubject: World Language for International Studies >,Click Here
1000000,M/J Intensive Language Arts (MC),Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: English/Language Arts > SubSubject: Remedial >,Click Here
1000010,M/J Intensive Reading (MC),Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: English/Language Arts > SubSubject: Remedial >,Click Here
1000020,M/J Intensive Reading and Career Planning,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: English/Language Arts > SubSubject: Remedial >,Click Here
1001010,M/J Language Arts 1,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: English/Language Arts > SubSubject: English >,Click Here
1001020,M/J Language Arts 1 Advanced,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: English/Language Arts > SubSubject: English >,Click Here
1001030,M/J International Baccalaureate MYP Language & Literature 1,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: English/Language Arts > SubSubject: English >,Click Here
1001040,M/J Language Arts 2,Section: Grades PreK to 12 Education Courses > Grade Group: Grades 6 to 8 Education Courses > Subject: English/Language Arts > SubSubject: English >,Click Here
